#include -> INCLUDE
<stdio.h> -> HEADER
int -> INT
main -> MAIN
( -> LP
) -> RP
{ -> LB
int -> INT
num -> ID
; -> SEMI
printf -> PRINTF
( -> LP
" -> DOUBLE_QUOTE
Enter an integer:  -> STRING_CONTENT
" -> DOUBLE_QUOTE
) -> RP
; -> SEMI
scanf -> SCANF
( -> LP
" -> DOUBLE_QUOTE
%d -> FORMAT_SPECIFIER_D
" -> DOUBLE_QUOTE
, -> COMMA
& -> ADDRESS
num -> ID
) -> RP
; -> SEMI
if -> IF
( -> LP
num -> ID
% -> MOD
2 -> NUMBER
== -> EQ
0 -> NUMBER
) -> RP
{ -> LB
printf -> PRINTF
( -> LP
" -> DOUBLE_QUOTE
%d is an even number. -> STRING_CONTENT
\n -> ESCAPED_CHAR
" -> DOUBLE_QUOTE
, -> COMMA
num -> ID
) -> RP
; -> SEMI
} -> RB
else -> ELSE
{ -> LB
printf -> PRINTF
( -> LP
" -> DOUBLE_QUOTE
%d is an odd number. -> STRING_CONTENT
\n -> ESCAPED_CHAR
" -> DOUBLE_QUOTE
, -> COMMA
num -> ID
) -> RP
; -> SEMI
} -> RB
return -> RETURN
0 -> NUMBER
; -> SEMI
} -> RB
