#include -> INCLUDE
<stdio.h> -> HEADER
int -> INT
main -> MAIN
( -> LP
) -> RP
{ -> LB
int -> INT
num1 -> ID
, -> COMMA
num2 -> ID
; -> SEMI
printf -> PRINTF
( -> LP
" -> DOUBLE_QUOTE
Enter two numbers:  -> STRING_CONTENT
" -> DOUBLE_QUOTE
) -> RP
; -> SEMI
scanf -> SCANF
( -> LP
" -> DOUBLE_QUOTE
%d %d -> STRING_CONTENT
" -> DOUBLE_QUOTE
, -> COMMA
& -> ADDRESS
num1 -> ID
, -> COMMA
& -> ADDRESS
num2 -> ID
) -> RP
; -> SEMI
if -> IF
( -> LP
num1 -> ID
> -> >
num2 -> ID
) -> RP
{ -> LB
printf -> PRINTF
( -> LP
" -> DOUBLE_QUOTE
%d is the largest. -> STRING_CONTENT
\n -> ESCAPED_NEWLINE
" -> DOUBLE_QUOTE
, -> COMMA
num1 -> ID
) -> RP
; -> SEMI
} -> RB
else -> ELSE
{ -> LB
printf -> PRINTF
( -> LP
" -> DOUBLE_QUOTE
%d is the largest. -> STRING_CONTENT
\n -> ESCAPED_NEWLINE
" -> DOUBLE_QUOTE
, -> COMMA
num2 -> ID
) -> RP
; -> SEMI
} -> RB
return -> RETURN
0 -> NUMBER
; -> SEMI
} -> RB
